티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금
101330,모베이스,794255,794255,0,2519135915,2519135915,0
012860,모베이스전자,2038437,2038437,0,2707443650,2707443650,0
363260,모비데이즈,13584891,13584891,0,12690933251,12690933251,0
348030,모비릭스,1121545,1121545,0,13486133700,13486133700,0
250060,모비스,7759404,7759404,0,14310279475,14310279475,0
288980,모아데이타,245502210,245502210,0,786702960130,786702960130,0
033200,모아텍,223016,223016,0,1333896060,1333896060,0
333050,모코엠시스,3970184,3970184,0,6165918090,6165918090,0
009680,모토닉,235664,235664,0,1980031620,1980031620,0
118990,모트렉스,27952288,27952288,0,487575491000,487575491000,0
006920,모헨즈,863972,863972,0,3426522945,3426522945,0
009580,무림P&P,4416337,4416337,0,20071724015,20071724015,0
001810,무림SP,2057375,2057375,0,5841853440,5841853440,0
009200,무림페이퍼,3454685,3454685,0,9099301655,9099301655,0
135160,무송지오씨,65331,65331,0,154879645,154879645,0
322970,무진메디,34959,34959,0,135688265,135688265,0
033920,무학,1153836,1153836,0,5848261650,5848261650,0
008420,문배철강,3593039,3593039,0,12546718615,12546718615,0
279600,미디어젠,747613,747613,0,10412291200,10412291200,0
095500,미래나노텍,75600938,75600938,0,1353982384750,1353982384750,0
025560,미래산업,967650,967650,0,12337838650,12337838650,0
218150,미래생명자원,9056558,9056558,0,41994206435,41994206435,0
007120,미래아이앤지,12942207,12942207,0,3979137438,3979137438,0
396690,미래에셋글로벌리츠,796244,796244,0,3051331220,3051331220,0
357250,미래에셋맵스리츠,439373,439373,0,1534103410,1534103410,0
100790,미래에셋벤처투자,2236474,2236474,0,10149580935,10149580935,0
412930,미래에셋비전스팩1호,262638,262638,0,527895890,527895890,0
085620,미래에셋생명,1544252,1544252,0,4467550680,4467550680,0
006800,미래에셋증권,14961128,14961128,0,96471758560,96471758560,0
00680K,미래에셋증권2우B,2302691,2302691,0,8647351920,8647351920,0
006805,미래에셋증권우,197562,197562,0,845232740,845232740,0
208890,미래엔에듀파트너,8099,8099,0,8655815,8655815,0
049950,미래컴퍼니,652665,652665,0,12740179600,12740179600,0
207760,미스터블루,162780097,162780097,0,814787084020,814787084020,0
002840,미원상사,43070,43070,0,7361853500,7361853500,0
268280,미원에스씨,34262,34262,0,5369822000,5369822000,0
107590,미원홀딩스,19824,19824,0,2163583000,2163583000,0
134380,미원화학,19916,19916,0,1365039700,1365039700,0
003650,미창석유,22772,22772,0,1669624100,1669624100,0
059090,미코,4141899,4141899,0,35988870490,35988870490,0
214610,미코바이오메드,3077308,3077308,0,16889409580,16889409580,0
201490,미투온,4443130,4443130,0,18681925815,18681925815,0
950190,미투젠,499593,499593,0,6796819300,6796819300,0
155900,바다로19호,276903,276903,0,829198425,829198425,0
206640,바디텍메드,1243338,1243338,0,12854981230,12854981230,0
018700,바른손,52392794,52392794,0,172194087605,172194087605,0
035620,바른손이앤에이,133753377,133753377,0,165200840589,165200840589,0
354390,바스칸바이오제약,4213,4213,0,24564040,24564040,0
053030,바이넥스,3808070,3808070,0,45334983150,45334983150,0
301300,바이브컴퍼니,1061889,1061889,0,21648325950,21648325950,0
377740,바이오노트,50855754,50855754,0,526535455710,526535455710,0
064550,바이오니아,7703222,7703222,0,250910667350,250910667350,0
314930,바이오다인,333150,333150,0,7282887450,7282887450,0
208710,바이오로그디바이스,7762086,7762086,0,7954762568,7954762568,0
086820,바이오솔루션,282957,282957,0,3217092400,3217092400,0
038460,바이오스마트,1259404,1259404,0,4418270105,4418270105,0
251120,바이오에프디엔씨,259300,259300,0,4422145750,4422145750,0
266470,바이오인프라생명과학,113642,113642,0,120271277,120271277,0
086040,바이오톡스텍,10373439,10373439,0,84263778670,84263778670,0
199290,바이오프로테크,10971,10971,0,11593984,11593984,0
099430,바이오플러스,16404475,16404475,0,116618204780,116618204780,0
032980,바이온,30244638,30244638,0,40195881465,40195881465,0
222160,바이옵트로,665906,665906,0,3257134875,3257134875,0
308080,바이젠셀,3796755,3796755,0,30888867600,30888867600,0
043150,바텍,534275,534275,0,17273515000,17273515000,0
323990,박셀바이오,3208891,3208891,0,122181304500,122181304500,0
003610,방림,18789393,18789393,0,107838068600,107838068600,0
267790,배럴,336221,336221,0,2362492310,2362492310,0
001340,백광산업,8229780,8229780,0,37407299890,37407299890,0
046310,백금T&A,4696117,4696117,0,15886324135,15886324135,0
035150,백산,3200401,3200401,0,27772950040,27772950040,0
331520,밸로프,50524954,50524954,0,60804164765,60804164765,0
066410,버킷스튜디오,268040856,268040856,0,449671241025,449671241025,0
