티커,BPS,PER,PBR,EPS,DIV,DPS
462520,0,0.0,0.0,0,0.0,0
120030,134669,10.0,0.77,10425,1.44,1500
018470,1476,19.19,1.85,142,0.0,0
002600,256975,9.69,0.7,18552,3.62,6500
185750,51191,12.86,1.66,6625,1.17,1000
063160,26941,0.0,0.86,0,0.0,0
001630,108745,239.73,0.48,219,2.67,1400
044380,730,0.0,0.84,0,0.0,0
013890,34132,15.68,0.76,1658,2.04,530
013870,13567,7.42,0.34,621,1.74,80
071320,143557,0.0,0.18,0,0.0,0
088790,8369,5.79,0.25,367,3.29,70
003780,3941,13.18,1.58,472,3.22,200
010640,3071,14.84,1.69,349,3.86,200
100250,6258,7.27,0.52,452,6.09,200
051630,2199,0.0,1.4,0,0.0,0
272450,2116,0.0,6.68,0,0.0,0
011000,2340,0.0,1.74,0,0.0,0
002780,1545,3.38,0.74,341,0.0,0
002787,0,0.0,0.0,0,0.0,0
002785,0,0.0,0.0,0,0.0,0
009310,1317,0.0,0.38,0,0.0,0
000650,18651,0.0,2.68,0,0.0,0
012600,1111,0.0,2.24,0,0.0,0
033250,895,0.0,0.97,0,0.0,0
035720,22893,15.86,2.15,3106,0.12,60
323410,11988,46.75,2.16,553,0.31,80
377300,13583,107.74,3.23,407,0.0,0
006380,665,0.0,1.52,0,0.0,0
109070,402,0.0,10.2,0,0.0,0
001620,1765,13.04,0.34,46,0.0,0
029460,58058,2.27,0.32,8092,1.91,350
281820,20995,7.78,1.0,2692,1.19,250
381970,5112,19.16,2.37,631,6.29,760
007815,0,0.0,0.0,0,0.0,0
007810,20204,6.34,0.79,2507,0.0,0
00781K,0,0.0,0.0,0,0.0,0
003690,22976,6.51,0.32,1132,5.83,430
192820,51220,75.03,2.69,1838,0.0,0
044820,31502,0.0,0.32,0,0.0,0
005070,8199,168.42,18.73,912,0.0,0
005420,6118,136.38,7.45,334,0.0,0
071950,562,0.0,1.17,0,0.0,0
002020,76319,1.78,0.23,10012,3.08,550
003070,22544,1.98,0.5,5710,3.54,400
003075,0,0.0,0.0,0,2.79,450
450140,0,0.0,0.0,0,0.0,0
45014K,0,0.0,0.0,0,0.0,0
002025,0,0.0,0.0,0,4.27,600
120110,94856,8.58,0.54,5934,2.55,1300
120115,0,0.0,0.0,0,5.29,1350
